engine_code,engine_desc,tier,fuel_code,fuel_type,base_sfc
1,Slow-Speed Diesel-cycle (SSD),0,1,HFO,205
1,Slow-Speed Diesel-cycle (SSD),0,4,MDO,190
1,Slow-Speed Diesel-cycle (SSD),0,5,LNG,
1,Slow-Speed Diesel-cycle (SSD),0,6,Methanol,350
1,Slow-Speed Diesel-cycle (SSD),1,1,HFO,185
1,Slow-Speed Diesel-cycle (SSD),1,4,MDO,175
1,Slow-Speed Diesel-cycle (SSD),1,5,LNG,
1,Slow-Speed Diesel-cycle (SSD),1,6,Methanol,350
1,Slow-Speed Diesel-cycle (SSD),2,1,HFO,175
1,Slow-Speed Diesel-cycle (SSD),2,4,MDO,165
1,Slow-Speed Diesel-cycle (SSD),2,5,LNG,
1,Slow-Speed Diesel-cycle (SSD),2,6,Methanol,350
1,Slow-Speed Diesel-cycle (SSD),3,1,HFO,175
1,Slow-Speed Diesel-cycle (SSD),3,4,MDO,165
1,Slow-Speed Diesel-cycle (SSD),3,5,LNG,
1,Slow-Speed Diesel-cycle (SSD),3,6,Methanol,350
2,Medium-Speed Diesel-cycle (MSD),0,1,HFO,215
2,Medium-Speed Diesel-cycle (MSD),0,4,MDO,200
2,Medium-Speed Diesel-cycle (MSD),0,5,LNG,
2,Medium-Speed Diesel-cycle (MSD),0,6,Methanol,370
2,Medium-Speed Diesel-cycle (MSD),1,1,HFO,195
2,Medium-Speed Diesel-cycle (MSD),1,4,MDO,185
2,Medium-Speed Diesel-cycle (MSD),1,5,LNG,
2,Medium-Speed Diesel-cycle (MSD),1,6,Methanol,370
2,Medium-Speed Diesel-cycle (MSD),2,1,HFO,185
2,Medium-Speed Diesel-cycle (MSD),2,4,MDO,175
2,Medium-Speed Diesel-cycle (MSD),2,5,LNG,
2,Medium-Speed Diesel-cycle (MSD),2,6,Methanol,370
2,Medium-Speed Diesel-cycle (MSD),3,1,HFO,185
2,Medium-Speed Diesel-cycle (MSD),3,4,MDO,175
2,Medium-Speed Diesel-cycle (MSD),3,5,LNG,
2,Medium-Speed Diesel-cycle (MSD),3,6,Methanol,370
3,High-Speed Diesel-cycle (HSD),0,1,HFO,225
3,High-Speed Diesel-cycle (HSD),0,4,MDO,210
3,High-Speed Diesel-cycle (HSD),0,5,LNG,
3,High-Speed Diesel-cycle (HSD),0,6,Methanol,
3,High-Speed Diesel-cycle (HSD),1,1,HFO,205
3,High-Speed Diesel-cycle (HSD),1,4,MDO,190
3,High-Speed Diesel-cycle (HSD),1,5,LNG,
3,High-Speed Diesel-cycle (HSD),1,6,Methanol,
3,High-Speed Diesel-cycle (HSD),2,1,HFO,195
3,High-Speed Diesel-cycle (HSD),2,4,MDO,185
3,High-Speed Diesel-cycle (HSD),2,5,LNG,
3,High-Speed Diesel-cycle (HSD),2,6,Methanol,
3,High-Speed Diesel-cycle (HSD),3,1,HFO,195
3,High-Speed Diesel-cycle (HSD),3,4,MDO,185
3,High-Speed Diesel-cycle (HSD),3,5,LNG,
3,High-Speed Diesel-cycle (HSD),3,6,Methanol,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,0,1,HFO,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,0,4,MDO,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,0,5,LNG,148
4,Slow-Speed LNG Otto-cycle Dual-Fuel,0,6,Methanol,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,1,1,HFO,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,1,4,MDO,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,1,5,LNG,148
4,Slow-Speed LNG Otto-cycle Dual-Fuel,1,6,Methanol,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,2,1,HFO,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,2,4,MDO,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,2,5,LNG,148
4,Slow-Speed LNG Otto-cycle Dual-Fuel,2,6,Methanol,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,3,1,HFO,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,3,4,MDO,
4,Slow-Speed LNG Otto-cycle Dual-Fuel,3,5,LNG,148
4,Slow-Speed LNG Otto-cycle Dual-Fuel,3,6,Methanol,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,0,1,HFO,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,0,4,MDO,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,0,5,LNG,173
5,Medium-Speed LNG Otto-cycle Dual-Fuel,0,6,Methanol,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,1,1,HFO,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,1,4,MDO,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,1,5,LNG,173
5,Medium-Speed LNG Otto-cycle Dual-Fuel,1,6,Methanol,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,2,1,HFO,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,2,4,MDO,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,2,5,LNG,156
5,Medium-Speed LNG Otto-cycle Dual-Fuel,2,6,Methanol,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,3,1,HFO,
5,Medium-Speed LNG Otto-cycle Dual-Fuel,3,4,MDO,
