type_bin,type,size_bin,size,c_w,c_f
1,Bulk carrier,1,"0-9,999",0.909,0.917
1,Bulk carrier,2,"10,000-34,999",0.867,0.917
1,Bulk carrier,3,"35,000-59,999",0.867,0.917
1,Bulk carrier,4,"60,000-99,999",0.867,0.917
1,Bulk carrier,5,"100,000-199,999",0.867,0.917
1,Bulk carrier,6,"200,000-+",0.867,0.917
3,Chemical tanker,1,"0-4,999",0.909,0.917
3,Chemical tanker,2,"5,000-9,999",0.909,0.917
3,Chemical tanker,3,"10,000-19,999",0.867,0.917
3,Chemical tanker,4,"20,000-39999",0.867,0.917
3,Chemical tanker,5,"40,000-+",0.867,0.917
4,Container,1,0-999,0.909,0.917
4,Container,2,"1,000-1,999",0.867,0.917
4,Container,3,"2,000-2,999",0.867,0.917
4,Container,4,"3,000-4,999",0.867,0.917
4,Container,5,"5,000-7,999",0.867,0.917
4,Container,6,"8,000-11,999",0.867,0.917
4,Container,7,"12,000-14,499",0.867,0.917
4,Container,8,"14,500-19,999",0.867,0.917
4,Container,9,"20,000-+",0.867,0.917
5,General cargo,1,"0-4,999",0.909,0.917
5,General cargo,2,"5,000-9,999",0.909,0.917
5,General cargo,3,"10,000-19,999",0.867,0.917
5,General cargo,4,"20,000-+",0.867,0.917
6,Liquefied gas tanker,1,"0-49,999",0.867,0.917
6,Liquefied gas tanker,2,"50,000-99,999",0.867,0.917
6,Liquefied gas tanker,3,"100,000-199,999",0.867,0.917
6,Liquefied gas tanker,4,"200,000-+",0.867,0.917
7,Oil tanker,1,"0-4,999",0.909,0.917
7,Oil tanker,2,"5,000-9,999",0.909,0.917
7,Oil tanker,3,"10,000-19,999",0.867,0.917
7,Oil tanker,4,"20,000-59,999",0.867,0.917
7,Oil tanker,5,"60,000-79,999",0.867,0.917
7,Oil tanker,6,"80,000-119,999",0.867,0.917
7,Oil tanker,7,"120,000-199,999",0.867,0.917
7,Oil tanker,8,"200,000-+",0.867,0.917
8,Other liquids tanker,1,0-999,0.867,0.917
8,Other liquids tanker,2,1000-+,0.867,0.917
9,Ferry-pax only,1,0-299,0.909,0.917
9,Ferry-pax only,2,300-999,0.909,0.917
9,Ferry-pax only,3,1000-1999,0.909,0.917
9,Ferry-pax only,4,2000-+,0.909,0.917
10,Cruise,1,"0-1,999",0.909,0.917
10,Cruise,2,"2,000-9,999",0.867,0.917
10,Cruise,3,"10,000-59,999",0.867,0.917
10,Cruise,4,"60,000-99,999",0.867,0.917
10,Cruise,5,100000-149999,0.867,0.917
10,Cruise,6,150000-+,0.867,0.917
11,Ferry-RoPax,1,0-1999,0.909,0.917
11,Ferry-RoPax,2,2000-4999,0.909,0.917
11,Ferry-RoPax,3,5000-9999,0.909,0.917
11,Ferry-RoPax,4,10000-19999,0.909,0.917
11,Ferry-RoPax,5,20000-+,0.909,0.917
12,Refrigerated bulk,1,0-1999,0.867,0.917
12,Refrigerated bulk,2,2000-5999,0.867,0.917
12,Refrigerated bulk,3,6000-9999,0.867,0.917
12,Refrigerated bulk,4,10000-+,0.867,0.917
13,Ro-Ro,1,0-4999,0.909,0.917
13,Ro-Ro,2,5000-9999,0.867,0.917
13,Ro-Ro,3,10000-14999,0.867,0.917
13,Ro-Ro,4,"15,000-+",0.867,0.917
14,Vehicle,1,"0-9,999",0.867,0.917
14,Vehicle,2,"10,000-19,999",0.867,0.917
14,Vehicle,3,"20,000-+",0.867,0.917
15,Yacht,1,0-+,0.867,0.917
16,Service - tug,1,0-+,0.909,0.917
17,Miscellaneous - fishing,1,0-+,0.909,0.917
18,Offshore,1,0-+,0.909,0.917
19,Service - other,1,0-+,0.909,0.917
20,Miscellaneous - other,1,0-+,0.909,0.917
